DHNO,rswl,mga_easting,mga_northing,mga_zone
27118,0.45,268692.83,6090381.57,54
27119,0.5,268980.1,6091011.04,54
27113,0.55,268211.78,6090420.49,54
27107,0.98,269532.13,6091667.15,54
27121,1.12,268422.8,6088616.53,54
26558,4.09,268941.81,6093083.52,54
26565,4.33,270906.82,6096136.56,54
27117,4.55,268342.75,6089793.53,54
27050,5.54,271897.13,6092138.11,54
186362,9.01,272417.8,6092324.5,54
27112,10.15,268262.82,6090831.55,54
27063,15.9,270438.32,6089954.64,54
27125,16.11,268703.74,6091952.55,54
156132,17.54,273639.79,6092481.48,54
142342,18.12,274713.72,6099737.57,54
26585,18.22,272506.29,6097255.78,54
40740,34.15,275128.32,6101288.74,54
182233,34.94,275801.93,6093895.2,54
39875,35.77,273473.76,6090244.52,54
45418,40.12,277367.76,6096220.52,54
46299,48.43,277537.72,6098076.46,54
44644,48.78,275943.74,6099024.54,54
46229,50.21,277413.04,6097596.19,54
40495,51.76,279007.25,6097347.3,54
45276,52.74,276962.96,6099957.87,54
195701,53.83,277428.35,6101578.42,54
180838,54.34,277896.78,6099396.56,54
179080,55.44,277896.72,6099395.55,54
42173,55.52,276053.77,6102164.52,54
180822,55.58,277727.79,6100638.5,54
179079,55.68,277730.77,6100639.57,54
46212,61.13,280116.72,6098418.56,54
46196,61.81,280044.6,6098728.49,54
46069,63.48,279613.75,6100153.55,54
45475,63.87,279504.12,6103716.5,54
46726,65,280074.77,6100037.46,54
46232,70.07,282211.77,6100862.53,54
40794,70.97,279696.34,6101840.75,54
46129,72.42,280938.75,6101721.53,54
42190,72.62,274760.8,6104373.48,54
46725,77.2,282058.69,6102406.47,54
42279,82.42,278422.62,6104055.05,54
46736,86.42,280857.31,6103228.91,54
42029,106.91,282055.7,6104194.56,54
200678,128.99,281209.66,6105755.3,54
196608,129.42,278350.78,6094351.48,54
200676,131.49,281253.76,6105752.37,54
200677,131.85,281239.49,6105754.58,54
166221,136,281855.73,6106253.5,54
45105,139.64,284219.31,6104842.78,54
46734,142.08,283739.03,6105457,54
40002,142.26,279772.73,6096025.56,54
196280,143.98,280090.75,6096736.5,54
46552,145.32,284454.06,6105562.62,54
166769,147.47,280071.75,6096593.29,54
43439,150.52,283720.72,6108522.45,54
39932,152.49,277790.8,6093805.56,54
131933,161.25,284885.7,6107988.55,54
42108,166.65,285247.33,6107931.76,54
166767,167.7,284757.74,6108702.51,54
42104,175.14,286977.76,6107901.46,54
43490,176.09,285955.35,6109203.72,54
196609,184.26,284228.99,6102553.08,54
43470,194.24,286225.3,6110008.68,54
42117,200.48,285787.7,6105829.25,54
196571,204.77,285126.7,6104832.29,54
177637,208.71,284627.73,6103416.13,54
