X,Y,Z
268692.830,6090381.570,0.450
268980.100,6091011.040,0.500
268211.780,6090420.490,0.550
269532.130,6091667.150,0.980
268422.800,6088616.530,1.120
268941.810,6093083.520,4.090
270906.820,6096136.560,4.330
268342.750,6089793.530,4.550
271897.130,6092138.110,5.540
272417.800,6092324.500,9.010
268262.820,6090831.550,10.150
270438.320,6089954.640,15.900
268703.740,6091952.550,16.110
273639.790,6092481.480,17.540
274713.720,6099737.570,18.120
272506.290,6097255.780,18.220
275128.320,6101288.740,34.150
275801.930,6093895.200,34.940
273473.760,6090244.520,35.770
277367.760,6096220.520,40.120
277537.720,6098076.460,48.430
275943.740,6099024.540,48.780
277413.040,6097596.190,50.210
279007.250,6097347.300,51.760
276962.960,6099957.870,52.740
277428.350,6101578.420,53.830
277896.780,6099396.560,54.340
277896.720,6099395.550,55.440
276053.770,6102164.520,55.520
277727.790,6100638.500,55.580
277730.770,6100639.570,55.680
280116.720,6098418.560,61.130
280044.600,6098728.490,61.810
279613.750,6100153.550,63.480
279504.120,6103716.500,63.870
280074.770,6100037.460,65.000
282211.770,6100862.530,70.070
279696.340,6101840.750,70.970
280938.750,6101721.530,72.420
274760.800,6104373.480,72.620
282058.690,6102406.470,77.200
278422.620,6104055.050,82.420
280857.310,6103228.910,86.420
282055.700,6104194.560,106.910
281209.660,6105755.300,128.990
278350.780,6094351.480,129.420
281253.760,6105752.370,131.490
281239.490,6105754.580,131.850
281855.730,6106253.500,136.000
284219.310,6104842.780,139.640
283739.030,6105457.000,142.080
279772.730,6096025.560,142.260
280090.750,6096736.500,143.980
284454.060,6105562.620,145.320
280071.750,6096593.290,147.470
283720.720,6108522.450,150.520
277790.800,6093805.560,152.490
284885.700,6107988.550,161.250
285247.330,6107931.760,166.650
284757.740,6108702.510,167.700
286977.760,6107901.460,175.140
285955.350,6109203.720,176.090
284228.990,6102553.080,184.260
286225.300,6110008.680,194.240
285787.700,6105829.250,200.480
285126.700,6104832.290,204.770
284627.730,6103416.130,208.710
