# Src-x Src-y Src-Int Rec-x Rec-y Rec-Int
0.0000 0.0323 7.9867 1.0000 0.0323 1.2262
0.0000 0.0323 5.4173 1.0000 0.0645 0.9159
0.0000 0.0323 4.4294 1.0000 0.0968 0.8032
0.0000 0.0323 4.5157 1.0000 0.1290 0.8669
0.0000 0.0323 1.8666 1.0000 0.1613 0.3766
0.0000 0.0323 7.9588 1.0000 0.1935 1.6419
0.0000 0.0323 2.6596 1.0000 0.2258 0.5609
0.0000 0.0323 8.5467 1.0000 0.2581 1.8445
0.0000 0.0323 4.1927 1.0000 0.2903 0.9185
0.0000 0.0323 4.7393 1.0000 0.3226 0.9977
0.0000 0.0323 9.6533 1.0000 0.3548 1.9482
0.0000 0.0323 1.7576 1.0000 0.3871 0.3449
0.0000 0.0323 8.1456 1.0000 0.4194 1.5628
0.0000 0.0323 6.8240 1.0000 0.4516 1.2843
0.0000 0.0323 3.0320 1.0000 0.4839 0.5566
0.0000 0.0323 7.8037 1.0000 0.5161 1.4006
0.0000 0.0323 6.8758 1.0000 0.5484 1.2086
0.0000 0.0323 9.5445 1.0000 0.5806 1.6410
0.0000 0.0323 1.7205 1.0000 0.6129 0.2891
0.0000 0.0323 3.5998 1.0000 0.6452 0.5893
0.0000 0.0323 5.7255 1.0000 0.6774 0.9133
0.0000 0.0323 9.7653 1.0000 0.7097 1.5149
0.0000 0.0323 5.6237 1.0000 0.7419 0.8470
0.0000 0.0323 2.4267 1.0000 0.7742 0.3716
0.0000 0.0323 3.3778 1.0000 0.8065 0.5317
0.0000 0.0323 9.3978 1.0000 0.8387 1.4900
0.0000 0.0323 6.6608 1.0000 0.8710 1.0536
0.0000 0.0323 1.4373 1.0000 0.9032 0.2299
0.0000 0.0323 8.0414 1.0000 0.9355 1.2601
0.0000 0.0323 2.5765 1.0000 0.9677 0.3888
0.0000 0.0323 9.6322 0.0323 1.0000 1.3889
0.0000 0.0323 3.9724 0.0645 1.0000 0.6184
0.0000 0.0323 9.4486 0.0968 1.0000 1.5934
0.0000 0.0323 6.4061 0.1290 1.0000 1.1588
0.0000 0.0323 9.1200 0.1613 1.0000 1.7260
0.0000 0.0323 2.4025 0.1935 1.0000 0.4704
0.0000 0.0323 6.0252 0.2258 1.0000 1.1457
0.0000 0.0323 5.1900 0.2581 1.0000 0.9857
0.0000 0.0323 9.7370 0.2903 1.0000 1.8741
0.0000 0.0323 3.9945 0.3226 1.0000 0.7756
0.0000 0.0323 8.8564 0.3548 1.0000 1.7239
0.0000 0.0323 5.6448 0.3871 1.0000 1.0967
0.0000 0.0323 3.6279 0.4194 1.0000 0.7012
0.0000 0.0323 8.0715 0.4516 1.0000 1.6124
0.0000 0.0323 2.3289 0.4839 1.0000 0.4778
0.0000 0.0323 4.4793 0.5161 1.0000 0.9238
0.0000 0.0323 5.4237 0.5484 1.0000 1.1603
0.0000 0.0323 8.8394 0.5806 1.0000 1.9253
0.0000 0.0323 9.3169 0.6129 1.0000 2.0252
0.0000 0.0323 7.7499 0.6452 1.0000 1.6721
0.0000 0.0323 9.1967 0.6774 1.0000 1.9610
0.0000 0.0323 9.9729 0.7097 1.0000 2.1033
0.0000 0.0323 1.6270 0.7419 1.0000 0.3322
