        freq(Hz)      rho(ohm.m)         err_rho      phase(deg)       err_phase
     10400.01000         98.8605          1.0374         46.6927          0.3006
      8799.99800        102.5136          0.8396         48.6346          0.2346
      7200.00000         94.2795          0.7287         53.0608          0.2214
      6000.00000         91.8957          0.7881         54.3967          0.2457
      5200.00100         71.1959          2.7818         57.7142          1.1194
      4400.00000         42.8959          7.0301         56.7253          4.7003
      3600.00000         63.0730          6.4413         60.2250          2.9269
       919.99990         37.2738          0.1089         70.8158          0.0837
       780.00000         34.1831          0.0804         71.1445          0.0673
       640.00010         30.4492          0.0575         71.3986          0.0541
       529.99990         27.7979          0.0583         71.3784          0.0601
       460.00000         25.4101          0.0483         71.4339          0.0544
       390.00010         22.6588          0.0376         71.5554          0.0476
       320.00010         19.6948          0.0272         71.1852          0.0396
       265.00000         18.0892          0.0283         70.8328          0.0449
       229.00000         16.3060          0.0240         70.3079          0.0422
       194.00000         14.6809          0.0224         69.8484          0.0437
       159.00000         13.3815          0.0213         69.1158          0.0456
       132.00000         12.0541          0.0238         67.9897          0.0567
       115.00000         11.2322          0.0235         67.4967          0.0598
        96.99999         10.2177          0.0284         66.9720          0.0796
        79.00001          9.5424          0.0294         66.3851          0.0882
        66.00000          8.8246          0.0288         66.2424          0.0933
        57.00000          8.3935          0.0303         66.1399          0.1036
        49.00000          7.2284          0.0289         66.2692          0.1146
        40.00000          6.7512          0.0284         66.1669          0.1204
        33.00000          6.0655          0.0115         65.9230          0.0542
        27.50000          5.4451          0.0110         65.5741          0.0579
        22.50000          4.7336          0.0124         64.4839          0.0751
        18.80000          4.3051          0.0169         63.2791          0.1127
        16.20000          3.8149          0.0227         61.5279          0.1705
        13.70000          3.5502          0.0157         59.4761          0.1270
        11.20000          3.1965          0.0320         56.0346          0.2869
         9.40000          2.8687          0.0639         51.6991          0.6379
         8.10000          2.7932          0.0546         48.8874          0.5599
         6.90000          2.9520          0.0843         44.3850          0.8183
         5.60000          3.2204          0.1766         39.5972          1.5708
         4.70000          3.3978          0.1053         34.6705          0.8878
         4.10000          3.7049          0.1414         30.8036          1.0935
         3.40000          4.2804          0.1844         27.5681          1.2343
         2.81000          4.6555          0.2058         23.3800          1.2667
         2.34000          5.7509          0.4530         19.5046          2.2570
         2.03000          6.0766          0.4357         17.5073          2.0543
         1.72000          6.4396          0.3494         16.0214          1.5544
         1.41000          7.3956          0.5137         13.3562          1.9903
         1.17000          9.2023          0.8574         12.4852          2.6702
         1.02000          9.6824          0.7526         11.4117          2.2274
         0.86000         10.7075          0.7006          9.5891          1.8747
         0.70000         12.8983          0.6093          9.5336          1.3533
         0.59000         14.7295          0.9232          8.4933          1.7958
         0.51000         17.2098          1.0442          9.2994          1.7385
         0.43000         20.4710          1.2892          8.5736          1.8044
         0.35000         24.0641          1.8328          9.2066          2.1825
         0.29300         29.8331          2.5338         10.0285          2.4339
         0.25400         31.7220          3.1866          7.9706          2.8790
         0.21500         35.8330          3.9807          8.9432          3.1842
         0.17600         37.6941          4.1890         12.1829          3.1853
         0.14600         49.5802          7.2417         14.0793          4.1881
         0.12700         58.5295          5.3526         14.4344          2.6208
         0.10700         64.1685          4.5551         14.6840          2.0340
         0.08800         74.8312          2.9119         17.4912          1.1148
         0.07300         80.9807          3.1795         20.1486          1.1249
         0.06300         86.1488          2.0845         21.9129          0.6932
         0.05400         93.8985          1.4251         22.7567          0.4348
         0.04400        102.3261          1.1862         24.4943          0.3321
         0.03700        106.4354          1.5571         26.3074          0.4191
         0.03200        109.3184          1.8254         27.1273          0.4784
         0.02690        119.4274          1.9322         27.8641          0.4635
         0.02200        125.5213          2.7192         27.8651          0.6206
         0.01830        129.8640          3.2021         28.2697          0.7064
         0.01590        134.6791          3.8074         28.6326          0.8099
         0.01340        142.4343          3.3325         28.4379          0.6703
         0.01100        156.3339          2.9699         28.4399          0.5442
         0.00920        162.1005          2.9409         28.2892          0.5197
         0.00790        170.6605          4.3354         28.2692          0.7278
         0.00670        184.3369          6.6077         28.4314          1.0270
         0.00550        200.4470          9.1168         28.6535          1.3031
         0.00460        217.6948         16.8300         27.7341          2.2153
         0.00400        235.8392         18.2922         28.9654          2.2226
         0.00340        239.3887         21.1395         28.4442          2.5306
         0.00275        268.5516         31.7218         31.1531          3.3859
         0.00229        303.5201         61.7183         29.4308          5.8354
         0.00198        304.9113         67.7146         31.7027          6.3753
         0.00168        302.6802        128.4546         31.4194         12.2510
         0.00137        293.3587        118.3822         26.1077         11.6405
